,Date,Open,High,Low,Close,Adj Close,Volume
319,1997-03-21,9.244444,9.487777,9.228888,9.421111,6.18177,430803000.0
320,1997-03-24,9.421111,9.421111,9.421111,9.421111,6.18177,0.0
321,1997-03-25,9.506666,9.528888,9.28,9.337777,6.127091,299259000.0
322,1997-03-26,9.418888,9.442222,9.141111,9.18,6.023564,263079000.0
323,1997-03-27,9.133333,9.264444,9.077777,9.235555,6.060017,240205500.0
324,1997-03-28,9.235555,9.235555,9.235555,9.235555,6.060017,0.0
325,1997-03-31,8.59,8.59,8.312222,8.312222,5.45416,2344500.0
326,1997-04-01,7.488888,8.222222,7.481111,8.117777,5.326574,341541000.0
327,1997-04-02,8.294444,8.4,8.17,8.318888,5.458535,233689500.0
328,1997-04-03,8.35,8.472222,8.278888,8.438888,5.537273,239539500.0
329,1997-04-04,8.333333,8.361111,8.282222,8.328888,5.465096,144292500.0
330,1997-04-07,8.244444,8.275555,7.888888,8.036666,5.273351,201717000.0
331,1997-04-08,8.036666,8.036666,8.036666,8.036666,5.273351,0.0
332,1997-04-09,8.335555,8.6,8.335555,8.597777,5.641531,262431000.0
333,1997-04-10,8.531111,8.596666,8.178888,8.458888,5.550398,604341000.0
334,1997-04-11,8.325555,8.777777,8.266666,8.742222,5.73631,611014500.0
335,1997-04-14,8.742222,8.742222,8.742222,8.742222,5.73631,0.0
336,1997-04-15,8.888888,9.222222,8.888888,9.157777,6.008982,538470000.0
337,1997-04-16,9.157777,9.157777,9.157777,9.157777,6.008982,0.0
338,1997-04-17,9.195555,9.266666,9.088888,9.242222,6.064391,291825000.0
339,1997-04-18,9.242222,9.242222,9.242222,9.242222,6.064391,0.0
340,1997-04-21,9.355555,9.494444,9.277777,9.418888,6.180311,293818500.0
341,1997-04-22,9.456666,9.471111,9.133333,9.217777,6.04835,290317500.0
342,1997-04-23,9.244444,9.355555,9.235555,9.27,6.08262,126499500.0
343,1997-04-24,9.222222,9.325555,9.101111,9.135555,5.994399,193167000.0
344,1997-04-25,9.111111,9.287777,9.088888,9.25,6.069494,261198000.0
345,1997-04-28,9.205555,9.254444,9.157777,9.175555,6.020646,175171500.0
346,1997-04-29,9.144444,9.236666,9.022222,9.066666,5.949198,268690500.0
347,1997-04-30,9.377777,9.422222,9.24,9.255555,6.07314,187362000.0
348,1997-05-01,9.255555,9.255555,9.255555,9.255555,6.07314,0.0
349,1997-05-02,9.155555,9.22,9.077777,9.103333,5.973259,169294500.0
